city id,city,country,lat,lon,temp_astronomical_twilight_end,hum_astronomical_twilight_end,cloudiness_astronomical_twilight_end,windiness_astronomical_twilight_end
1493756,Razdolinsk,RU,58.4211,94.6658,-17.93,89,75,0.98
2523116,Siculiana,IT,37.3344,13.4216,49.33,63,1,9.46
1489423,Tomskaya,RU,58.7844,64.1901,-17.48,88,95,3.98
5976257,Holman,CA,70.7342,-117.7546,-15.68,88,100,10.16
5865670,Kaktovik,US,70.1319,-143.6239,-9.4,84,90,36.82
6142001,Schefferville,CA,54.8002,-66.8318,6.8,78,1,13.8
1023656,Adelaide,ZA,-32.7075,26.2956,59.99,74,63,8.88
3575660,Pointe Michel,DM,15.25,-61.3833,77.0,74,6,14.67
1485020,Znamenskoye,RU,57.1281,73.8282,-1.61,92,98,7.25
3468453,Cachoeira Alta,BR,-18.7633,-50.9417,77.27,56,33,3.78
5939211,Didyme,CA,48.9,-72.6656,7.05,84,93,2.3
1154677,Ban Tak,TH,17.0432,99.0813,79.83,31,28,2.15
3881895,Los Loros,CL,-27.8333,-70.1,63.41,52,0,1.39
5983577,Inukjuak,CA,58.4547,-78.1014,10.4,85,90,21.85
1264409,Mahbūbābād,IN,17.6167,80.0167,76.41,40,89,2.04
3436101,Partido de Arrecifes,AR,-34.0,-60.0,76.86,72,0,4.0
2032597,Bayan,MN,47.1667,110.8167,1.09,86,27,7.14
3420937,Qaarsut,GL,70.7333,-52.65,4.64,77,0,1.3
3859279,Doctor Rogelio Cortizo,AR,-40.7333,-65.0333,76.12,23,1,14.32
1638735,Laiwui,ID,-1.3518,127.6693,81.57,79,67,8.23
1640118,Ketapang Kecil,ID,-1.8333,109.9667,80.96,79,75,12.82
1083968,Ambalavao,MG,-21.8333,46.9333,70.57,90,14,3.85
1281437,Da Juh,CN,36.6,94.1,33.15,56,100,1.28
471308,Voyvozh,RU,62.892,54.9635,-34.92,83,87,5.95
2192521,Castlepoint,NZ,-40.9,176.2167,63.07,57,41,8.61
2014694,Tyrma,RU,50.0833,132.1667,1.29,91,72,2.19
1528249,Jalal-Abad,KG,40.9333,73.0,38.41,87,90,2.24
1905678,Tinh Ca Mau,VN,9.0833,105.0833,74.28,71,30,5.77
2208425,Zuwārah,LY,32.9312,12.082,63.77,50,39,13.87
3389353,Santarem,BR,-2.4431,-54.7083,75.2,94,20,3.44
1024701,Macia,MZ,-25.0269,33.0989,75.76,90,100,7.78
3923172,El Beni,BO,-14.0,-65.5,82.4,78,75,5.64
7902696,Novyye Plity,RU,54.4933,99.0021,-2.2,89,99,2.15
1525988,Ayagoz,KZ,47.9714,80.4392,14.2,97,100,8.63
6092200,Obed,CA,53.5501,-117.2356,42.8,49,100,11.5
1488950,Turan,RU,52.1453,93.9192,2.23,86,43,1.41
3291507,Moanflugh,IE,51.9678,-8.9825,43.43,93,40,4.61
2034292,Uliastai,CN,45.55,116.8333,6.35,88,64,6.85
5891871,Baker Lake,CA,64.3201,-96.0212,-13.0,70,90,14.97
6170056,Tulita,CA,64.9308,-125.5003,-23.13,84,100,1.5
5930953,Coutts,CA,49.002,-111.963,36.95,65,100,28.77
2065594,Mount Isa,AU,-20.7333,139.5,86.0,51,30,11.5
6185811,Yukon Territory,CA,62.9996,-135.004,-4.47,90,100,2.73
1638133,Leksula,ID,-3.7802,126.5171,82.04,70,84,8.1
1280485,Nangxian,CN,29.05,93.2,28.42,89,1,5.93
1688666,San Rafael,PH,13.0942,122.96,76.14,92,100,19.89
2328925,Niger State,NG,10.0,6.0,86.0,25,84,2.3
2141722,Bouloupari,NC,-21.8667,166.05,82.4,74,75,5.75
2654970,Brae,GB,60.3964,-1.353,46.4,81,0,16.11
4032243,Vaini,TO,-21.2,-175.2,77.0,78,20,9.22
1507390,Dikson,RU,73.5069,80.5464,-2.81,93,100,1.57
4199928,Helena,US,32.0738,-82.9146,54.99,62,90,11.5
7648112,Colonia,FM,9.5164,138.1217,82.4,74,40,9.22
7073137,Muzhijie,CN,33.9622,112.1652,61.72,26,0,4.72
3691954,Sechura,PE,-5.5569,-80.8222,75.6,66,44,17.31
1793724,Tai’an,CN,36.1853,117.12,63.93,32,94,3.09
5861202,Eagle Village,US,64.7806,-141.1136,-25.6,68,1,3.67
