city id,city,country,lat,lon,temp_solar_noon,hum_solar_noon,cloudiness_solar_noon,windiness_solar_noon
1493756,Razdolinsk,RU,58.4211,94.6658,-11.0,87,62,5.35
2523116,Siculiana,IT,37.3344,13.4216,57.54,76,0,8.01
1489423,Tomskaya,RU,58.7844,64.1901,-9.26,88,99,6.24
5976257,Holman,CA,70.7342,-117.7546,-22.0,76,75,17.27
5865670,Kaktovik,US,70.1319,-143.6239,-9.4,77,90,37.98
6142001,Schefferville,CA,54.8002,-66.8318,8.6,61,40,16.11
1023656,Adelaide,ZA,-32.7075,26.2956,70.48,49,82,7.65
3575660,Pointe Michel,DM,15.25,-61.3833,76.75,94,40,3.44
1485020,Znamenskoye,RU,57.1281,73.8282,1.54,92,100,4.18
3468453,Cachoeira Alta,BR,-18.7633,-50.9417,91.72,40,32,1.61
5939211,Didyme,CA,48.9,-72.6656,15.49,20,16,5.75
1154677,Ban Tak,TH,17.0432,99.0813,86.0,30,83,2.3
3881895,Los Loros,CL,-27.8333,-70.1,85.48,16,0,10.74
5983577,Inukjuak,CA,58.4547,-78.1014,10.4,79,1,23.02
1264409,Mahbūbābād,IN,17.6167,80.0167,86.86,31,99,2.62
3436101,Partido de Arrecifes,AR,-34.0,-60.0,89.01,45,0,5.01
2032597,Bayan,MN,47.1667,110.8167,9.73,87,50,14.58
3420937,Qaarsut,GL,70.7333,-52.65,3.11,79,30,1.14
3859279,Doctor Rogelio Cortizo,AR,-40.7333,-65.0333,86.31,14,0,21.3
1638735,Laiwui,ID,-1.3518,127.6693,85.82,69,54,12.1
1640118,Ketapang Kecil,ID,-1.8333,109.9667,83.17,69,60,10.83
1083968,Ambalavao,MG,-21.8333,46.9333,82.47,57,47,6.82
1281437,Da Juh,CN,36.6,94.1,39.87,38,99,2.21
471308,Voyvozh,RU,62.892,54.9635,-24.47,85,98,5.77
2192521,Castlepoint,NZ,-40.9,176.2167,73.0,54,0,4.0
2014694,Tyrma,RU,50.0833,132.1667,8.91,89,96,3.89
1528249,Jalal-Abad,KG,40.9333,73.0,39.2,100,90,2.24
1905678,Tinh Ca Mau,VN,9.0833,105.0833,87.37,46,32,12.1
2208425,Zuwārah,LY,32.9312,12.082,69.53,28,100,4.21
3389353,Santarem,BR,-2.4431,-54.7083,80.6,78,75,9.22
1024701,Macia,MZ,-25.0269,33.0989,87.69,63,73,6.51
3923172,El Beni,BO,-14.0,-65.5,86.0,70,75,8.05
7902696,Novyye Plity,RU,54.4933,99.0021,8.64,84,87,1.9
1525988,Ayagoz,KZ,47.9714,80.4392,23.45,96,100,15.99
6092200,Obed,CA,53.5501,-117.2356,46.4,31,100,18.41
1488950,Turan,RU,52.1453,93.9192,9.59,88,15,1.21
3291507,Moanflugh,IE,51.9678,-8.9825,48.88,81,75,14.97
2034292,Uliastai,CN,45.55,116.8333,19.15,94,43,18.45
5891871,Baker Lake,CA,64.3201,-96.0212,-11.2,64,90,14.97
6170056,Tulita,CA,64.9308,-125.5003,-16.55,85,74,2.06
5930953,Coutts,CA,49.002,-111.963,36.81,64,3,25.32
2065594,Mount Isa,AU,-20.7333,139.5,91.4,43,0,12.66
6185811,Yukon Territory,CA,62.9996,-135.004,0.88,89,100,2.28
1638133,Leksula,ID,-3.7802,126.5171,86.25,63,47,12.17
1280485,Nangxian,CN,29.05,93.2,38.71,40,0,2.33
1688666,San Rafael,PH,13.0942,122.96,75.7,86,100,16.24
2328925,Niger State,NG,10.0,6.0,99.73,8,53,3.22
2141722,Bouloupari,NC,-21.8667,166.05,88.3,70,90,11.5
2654970,Brae,GB,60.3964,-1.353,46.4,81,0,23.02
