city id,city,country,lat,lon,temp_sunrise,hum_sunrise,cloudiness_sunrise,windiness_sunrise
1493756,Razdolinsk,RU,58.4211,94.6658,-24.74,87,76,2.98
2523116,Siculiana,IT,37.3344,13.4216,46.29,92,0,1.01
1489423,Tomskaya,RU,58.7844,64.1901,-13.68,89,99,5.75
5976257,Holman,CA,70.7342,-117.7546,-22.0,76,75,17.27
5865670,Kaktovik,US,70.1319,-143.6239,-11.2,77,90,33.38
6142001,Schefferville,CA,54.8002,-66.8318,-0.4,78,1,14.97
1023656,Adelaide,ZA,-32.7075,26.2956,59.88,82,99,5.41
3575660,Pointe Michel,DM,15.25,-61.3833,72.12,100,40,2.3
1485020,Znamenskoye,RU,57.1281,73.8282,-7.11,91,100,6.22
3468453,Cachoeira Alta,BR,-18.7633,-50.9417,66.58,65,0,1.01
5939211,Didyme,CA,48.9,-72.6656,-1.82,72,5,11.5
1154677,Ban Tak,TH,17.0432,99.0813,64.4,72,33,1.32
3881895,Los Loros,CL,-27.8333,-70.1,56.89,56,0,1.34
5983577,Inukjuak,CA,58.4547,-78.1014,5.0,78,40,20.71
1264409,Mahbūbābād,IN,17.6167,80.0167,65.21,91,13,1.83
3436101,Partido de Arrecifes,AR,-34.0,-60.0,56.23,86,0,1.99
2032597,Bayan,MN,47.1667,110.8167,9.23,90,59,9.75
3420937,Qaarsut,GL,70.7333,-52.65,-0.22,77,90,0.4
3859279,Doctor Rogelio Cortizo,AR,-40.7333,-65.0333,63.27,30,0,11.63
1638735,Laiwui,ID,-1.3518,127.6693,81.0,75,92,9.19
1640118,Ketapang Kecil,ID,-1.8333,109.9667,77.74,83,97,10.92
1083968,Ambalavao,MG,-21.8333,46.9333,66.31,84,2,2.84
1281437,Da Juh,CN,36.6,94.1,24.1,55,87,5.93
471308,Voyvozh,RU,62.892,54.9635,-24.29,87,100,5.14
2192521,Castlepoint,NZ,-40.9,176.2167,59.38,67,0,10.36
2014694,Tyrma,RU,50.0833,132.1667,-11.81,89,58,1.36
1528249,Jalal-Abad,KG,40.9333,73.0,37.0,93,90,4.47
1905678,Tinh Ca Mau,VN,9.0833,105.0833,69.48,84,88,6.17
2208425,Zuwārah,LY,32.9312,12.082,62.08,31,100,7.43
3389353,Santarem,BR,-2.4431,-54.7083,71.6,100,75,1.36
1024701,Macia,MZ,-25.0269,33.0989,74.91,92,84,7.99
3923172,El Beni,BO,-14.0,-65.5,75.2,100,75,1.7
7902696,Novyye Plity,RU,54.4933,99.0021,-7.76,85,90,3.69
1525988,Ayagoz,KZ,47.9714,80.4392,18.34,97,100,14.14
6092200,Obed,CA,53.5501,-117.2356,37.4,41,100,4.61
1488950,Turan,RU,52.1453,93.9192,-9.72,83,4,1.01
3291507,Moanflugh,IE,51.9678,-8.9825,43.97,93,20,8.05
2034292,Uliastai,CN,45.55,116.8333,18.48,96,32,16.49
5891871,Baker Lake,CA,64.3201,-96.0212,-13.0,70,75,19.57
6170056,Tulita,CA,64.9308,-125.5003,-27.47,85,90,3.27
5930953,Coutts,CA,49.002,-111.963,29.48,69,100,25.32
2065594,Mount Isa,AU,-20.7333,139.5,73.4,83,10,3.44
6185811,Yukon Territory,CA,62.9996,-135.004,-7.19,88,100,2.86
1638133,Leksula,ID,-3.7802,126.5171,80.51,72,87,6.64
1280485,Nangxian,CN,29.05,93.2,19.42,61,0,1.9
1688666,San Rafael,PH,13.0942,122.96,76.15,82,100,22.28
2328925,Niger State,NG,10.0,6.0,65.17,27,22,4.47
2141722,Bouloupari,NC,-21.8667,166.05,79.14,94,20,2.3
2654970,Brae,GB,60.3964,-1.353,46.4,71,0,26.46
4032243,Vaini,TO,-21.2,-175.2,75.2,78,40,8.05
1507390,Dikson,RU,73.5069,80.5464,-9.18,92,100,8.75
4199928,Helena,US,32.0738,-82.9146,32.09,100,1,4.79
7648112,Colonia,FM,9.5164,138.1217,78.8,94,75,6.91
7073137,Muzhijie,CN,33.9622,112.1652,55.04,37,0,6.08
3691954,Sechura,PE,-5.5569,-80.8222,71.76,80,26,8.57
1793724,Tai’an,CN,36.1853,117.12,46.33,56,0,4.59
5861202,Eagle Village,US,64.7806,-141.1136,-31.0,80,1,0.69
631780,Vieremä,FI,63.8384,26.997,3.2,78,20,17.27
1580541,Hoi An,VN,15.8794,108.335,60.8,94,20,1.14
5847387,Kahuku,US,21.6803,-157.9511,71.42,88,90,9.22
533964,Loukhi,RU,66.0764,33.0381,-10.48,90,97,6.24
7645768,Sorol,FM,8.1435,140.394,83.16,78,94,15.32
2152721,Pooncarie,AU,-33.3833,142.5667,78.21,39,86,10.6
1569805,Tinh Phu Yen,VN,13.1667,109.1667,60.69,100,84,2.91
7670994,Kayangel,PW,8.0823,134.7173,82.36,81,90,11.81
