city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
1493756,Razdolinsk,RU,58.4211,94.6658,-16.29,89,100,2.01
2523116,Siculiana,IT,37.3344,13.4216,52.21,88,1,1.99
1489423,Tomskaya,RU,58.7844,64.1901,-15.52,88,99,4.56
5976257,Holman,CA,70.7342,-117.7546,-15.21,89,100,11.21
5865670,Kaktovik,US,70.1319,-143.6239,-9.4,84,90,31.07
6142001,Schefferville,CA,54.8002,-66.8318,8.6,66,1,17.27
1023656,Adelaide,ZA,-32.7075,26.2956,63.37,63,75,14.0
3575660,Pointe Michel,DM,15.25,-61.3833,78.03,65,75,8.05
1485020,Znamenskoye,RU,57.1281,73.8282,1.9,93,100,6.93
3468453,Cachoeira Alta,BR,-18.7633,-50.9417,78.96,56,31,3.31
5939211,Didyme,CA,48.9,-72.6656,17.53,67,99,3.44
1154677,Ban Tak,TH,17.0432,99.0813,89.6,29,96,3.44
3881895,Los Loros,CL,-27.8333,-70.1,74.62,34,0,5.91
5983577,Inukjuak,CA,58.4547,-78.1014,10.4,85,90,28.77
1264409,Mahbūbābād,IN,17.6167,80.0167,78.51,38,100,2.84
3436101,Partido de Arrecifes,AR,-34.0,-60.0,81.7,64,0,4.0
2032597,Bayan,MN,47.1667,110.8167,4.48,86,41,8.32
3420937,Qaarsut,GL,70.7333,-52.65,3.94,79,0,1.21
3859279,Doctor Rogelio Cortizo,AR,-40.7333,-65.0333,83.34,15,17,22.59
1638735,Laiwui,ID,-1.3518,127.6693,81.81,78,61,9.31
1640118,Ketapang Kecil,ID,-1.8333,109.9667,80.92,80,70,12.46
1083968,Ambalavao,MG,-21.8333,46.9333,74.3,84,13,4.41
1281437,Da Juh,CN,36.6,94.1,33.87,55,100,0.51
471308,Voyvozh,RU,62.892,54.9635,-29.6,85,100,6.11
2192521,Castlepoint,NZ,-40.9,176.2167,64.99,75,24,1.99
2014694,Tyrma,RU,50.0833,132.1667,3.78,92,89,2.86
1528249,Jalal-Abad,KG,40.9333,73.0,35.91,87,75,4.47
1905678,Tinh Ca Mau,VN,9.0833,105.0833,78.12,65,30,5.82
2208425,Zuwārah,LY,32.9312,12.082,64.74,44,41,13.35
3389353,Santarem,BR,-2.4431,-54.7083,78.8,83,20,4.61
1024701,Macia,MZ,-25.0269,33.0989,78.75,87,100,9.28
3923172,El Beni,BO,-14.0,-65.5,82.4,78,75,4.29
7902696,Novyye Plity,RU,54.4933,99.0021,-1.91,89,91,1.61
1525988,Ayagoz,KZ,47.9714,80.4392,18.16,97,99,9.62
6092200,Obed,CA,53.5501,-117.2356,44.6,39,100,16.11
1488950,Turan,RU,52.1453,93.9192,3.61,88,40,1.16
3291507,Moanflugh,IE,51.9678,-8.9825,45.3,87,40,6.91
2034292,Uliastai,CN,45.55,116.8333,11.17,92,54,11.9
5891871,Baker Lake,CA,64.3201,-96.0212,-13.0,70,90,16.11
6170056,Tulita,CA,64.9308,-125.5003,-21.46,85,100,1.86
5930953,Coutts,CA,49.002,-111.963,35.92,75,100,46.04
2065594,Mount Isa,AU,-20.7333,139.5,89.6,40,51,8.05
6185811,Yukon Territory,CA,62.9996,-135.004,-1.98,90,100,3.33
1638133,Leksula,ID,-3.7802,126.5171,82.38,71,80,8.86
1280485,Nangxian,CN,29.05,93.2,29.98,87,11,7.29
1688666,San Rafael,PH,13.0942,122.96,76.75,89,100,21.14
2328925,Niger State,NG,10.0,6.0,91.4,19,64,3.44
